,Pageview,Revision,Corr.
51,2019 Hong Kong extradition bill,List of August 2019 Hong Kong protests,0.4334873839470233
525,List of March–June 2019 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.4304961992139689
79,2019 Hong Kong local elections,Government of Hong Kong,0.4293006480123387
178,2019–20 Hong Kong protests,List of October 2019 Hong Kong protests,0.42795430134356144
468,Lennon Wall (Hong Kong),"One country, two systems",0.4243333189613214
574,"One country, two systems",Police misconduct allegations during the 2019–20 Hong Kong protests,0.42351248510016937
162,2019–20 Hong Kong protests,Causes of the 2019–20 Hong Kong protests,0.4227175521928023
395,Glory to Hong Kong,List of protests in Hong Kong,0.42270959818334364
138,2019 Yuen Long attack,Demosistō,0.419063002061757
436,HKmap.live,Police misconduct allegations during the 2019–20 Hong Kong protests,0.4178820175410981
483,List of August 2019 Hong Kong protests,"One country, two systems",0.41678045658608454
26,12 June 2019 Hong Kong protest,Murder of Poon Hiu-wing,0.41599612283351056
329,Death of Chan Yin-lam,List of March–June 2019 Hong Kong protests,0.41556972829322647
19,12 June 2019 Hong Kong protest,List of December 2019 Hong Kong protests,0.4148245691622076
2,12 June 2019 Hong Kong protest,2019 Prince Edward station attack,0.41278344908931214
24,12 June 2019 Hong Kong protest,List of protests in Hong Kong,0.41246032197064925
437,HKmap.live,Reactions to the 2019–20 Hong Kong protests,0.41149625982193455
337,Death of Chan Yin-lam,Reactions to the 2019–20 Hong Kong protests,0.41140709305998413
407,Government of Hong Kong,Lennon Wall (Hong Kong),0.409787956658771
481,List of August 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.4081498935456061
149,2019 Yuen Long attack,List of October 2019 Hong Kong protests,0.40749288302577846
20,12 June 2019 Hong Kong protest,List of July 2019 Hong Kong protests,0.4074604533876495
316,Civil Human Rights Front,Storming of the Legislative Council Complex,0.4071074763813878
132,2019 Yuen Long attack,Carrie Lam,0.4064930728004067
394,Glory to Hong Kong,List of October 2019 Hong Kong protests,0.3966419541699264
354,Death of Chow Tsz-lok,List of protests in Hong Kong,0.394696020000067
107,2019 Prince Edward station attack,Death of Chow Tsz-lok,0.3946486595777139
350,Death of Chow Tsz-lok,List of July 2019 Hong Kong protests,0.3899099712973121
104,2019 Prince Edward station attack,Chinese University of Hong Kong conflict,0.38961490047183867
372,Demosistō,List of March–June 2019 Hong Kong protests,0.3894913554390235
349,Death of Chow Tsz-lok,List of December 2019 Hong Kong protests,0.38635717968337235
281,Chinese University of Hong Kong conflict,List of July 2019 Hong Kong protests,0.3855941881358865
434,HKmap.live,Murder of Poon Hiu-wing,0.38373506993266443
356,Death of Chow Tsz-lok,Murder of Poon Hiu-wing,0.3835893628142168
413,Government of Hong Kong,List of October 2019 Hong Kong protests,0.38278655200286643
105,2019 Prince Edward station attack,Civil Human Rights Front,0.3804965828656053
159,2019 Yuen Long attack,Umbrella Movement,0.37906680665606685
371,Demosistō,List of July 2019 Hong Kong protests,0.3783219892204179
429,HKmap.live,List of March–June 2019 Hong Kong protests,0.3776979917690503
109,2019 Prince Edward station attack,Glory to Hong Kong,0.3751220824604043
14,12 June 2019 Hong Kong protest,Government of Hong Kong,0.37152097371576426
1,12 June 2019 Hong Kong protest,2019 Hong Kong local elections,0.37121826234434124
75,2019 Hong Kong local elections,Death of Chan Yin-lam,0.3693239814346577
285,Chinese University of Hong Kong conflict,List of protests in Hong Kong,0.3677785213708592
447,Hong Kong–Mainland China conflict,List of November 2019 Hong Kong protests,0.36598418351471806
402,Glory to Hong Kong,Storming of the Legislative Council Complex,0.3651857266512595
73,2019 Hong Kong local elections,Chinese University of Hong Kong conflict,0.3636122062497683
461,Lennon Wall (Hong Kong),List of July 2019 Hong Kong protests,0.3609036114900617
387,Glory to Hong Kong,Hong Kong–Mainland China conflict,0.36050915267798095
528,List of March–June 2019 Hong Kong protests,Umbrella Movement,0.35994907116348507
462,Lennon Wall (Hong Kong),List of March–June 2019 Hong Kong protests,0.35888940828477445
177,2019–20 Hong Kong protests,List of November 2019 Hong Kong protests,0.35568628950518133
64,2019 Hong Kong extradition bill,Storming of the Legislative Council Complex,0.3552151107946192
250,Causes of the 2019–20 Hong Kong protests,Government of Hong Kong,0.3550448204013359
231,Carrie Lam,List of March–June 2019 Hong Kong protests,0.35406973717000734
412,Government of Hong Kong,List of November 2019 Hong Kong protests,0.35399039928394516
251,Causes of the 2019–20 Hong Kong protests,HKmap.live,0.35393834792594314
3,12 June 2019 Hong Kong protest,2019 Yuen Long attack,0.3533801974418092
379,Demosistō,Police misconduct allegations during the 2019–20 Hong Kong protests,0.3525996898230596
180,2019–20 Hong Kong protests,List of September 2019 Hong Kong protests,0.3519261130305806
308,Civil Human Rights Front,List of October 2019 Hong Kong protests,0.35179553653848816
40,2019 Hong Kong extradition bill,Causes of the 2019–20 Hong Kong protests,0.3513785860806564
555,List of protests in Hong Kong,Siege of the Hong Kong Polytechnic University,0.3488430070393215
275,Chinese University of Hong Kong conflict,Government of Hong Kong,0.34827306665824304
474,Lennon Wall (Hong Kong),Umbrella Movement,0.34728377216368206
380,Demosistō,Reactions to the 2019–20 Hong Kong protests,0.344215978298462
134,2019 Yuen Long attack,Chinese University of Hong Kong conflict,0.34393286279670854
133,2019 Yuen Long attack,Causes of the 2019–20 Hong Kong protests,0.34308400654529103
148,2019 Yuen Long attack,List of November 2019 Hong Kong protests,0.34289283867581943
126,2019 Prince Edward station attack,Siege of the Hong Kong Polytechnic University,0.34276313790097823
516,List of July 2019 Hong Kong protests,Umbrella Movement,0.34170662265565077
123,2019 Prince Edward station attack,"One country, two systems",0.3414979074131414
151,2019 Yuen Long attack,List of September 2019 Hong Kong protests,0.34094645732953066
470,Lennon Wall (Hong Kong),Reactions to the 2019–20 Hong Kong protests,0.33713487421444555
106,2019 Prince Edward station attack,Death of Chan Yin-lam,0.33648719836234514
15,12 June 2019 Hong Kong protest,HKmap.live,0.3363482249955482
344,Death of Chow Tsz-lok,Government of Hong Kong,0.3362201971975592
588,Reactions to the 2019–20 Hong Kong protests,Umbrella Movement,0.3336029264060854
584,Police misconduct allegations during the 2019–20 Hong Kong protests,Umbrella Movement,0.332704715366093
450,Hong Kong–Mainland China conflict,List of September 2019 Hong Kong protests,0.33265023216977896
35,2019 Hong Kong extradition bill,2019 Prince Edward station attack,0.33258927644830333
428,HKmap.live,List of July 2019 Hong Kong protests,0.3321599023826815
95,2019 Hong Kong local elections,Siege of the Hong Kong Polytechnic University,0.33177018480234216
16,12 June 2019 Hong Kong protest,Hong Kong–Mainland China conflict,0.33136693365176006
196,Art of the 2019–20 Hong Kong protests,Glory to Hong Kong,0.3292432093590268
58,2019 Hong Kong extradition bill,List of September 2019 Hong Kong protests,0.32799501046315516
543,List of October 2019 Hong Kong protests,"One country, two systems",0.32734492451584873
430,HKmap.live,List of November 2019 Hong Kong protests,0.32658822997027803
432,HKmap.live,List of protests in Hong Kong,0.3250689049168778
489,List of August 2019 Hong Kong protests,Umbrella Movement,0.32413439043346115
227,Carrie Lam,Lennon Wall (Hong Kong),0.3227621505745831
469,Lennon Wall (Hong Kong),Police misconduct allegations during the 2019–20 Hong Kong protests,0.32275753614471553
420,Government of Hong Kong,Siege of the Hong Kong Polytechnic University,0.32273627219512396
230,Carrie Lam,List of July 2019 Hong Kong protests,0.32219572763757776
513,List of July 2019 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.32208119886933356
328,Death of Chan Yin-lam,List of July 2019 Hong Kong protests,0.32044658117665004
346,Death of Chow Tsz-lok,Hong Kong–Mainland China conflict,0.3202425657633155
345,Death of Chow Tsz-lok,HKmap.live,0.3192809102725563
332,Death of Chan Yin-lam,List of protests in Hong Kong,0.31890100640939817
4,12 June 2019 Hong Kong protest,2019–20 Hong Kong protests,0.31740548046195766
137,2019 Yuen Long attack,Death of Chow Tsz-lok,0.31628028818970383
166,2019–20 Hong Kong protests,Death of Chow Tsz-lok,0.3153931966110577
168,2019–20 Hong Kong protests,Glory to Hong Kong,0.3152043866103209
156,2019 Yuen Long attack,Siege of the Hong Kong Polytechnic University,0.313735617550173
577,"One country, two systems",Storming of the Legislative Council Complex,0.31343934401612944
238,Carrie Lam,Police misconduct allegations during the 2019–20 Hong Kong protests,0.3128694463281556
139,2019 Yuen Long attack,Glory to Hong Kong,0.3123907683611909
277,Chinese University of Hong Kong conflict,Hong Kong–Mainland China conflict,0.3114225529462136
466,Lennon Wall (Hong Kong),List of September 2019 Hong Kong protests,0.31117716837391673
424,HKmap.live,Hong Kong–Mainland China conflict,0.309895218060098
245,Causes of the 2019–20 Hong Kong protests,Civil Human Rights Front,0.30959036605872925
310,Civil Human Rights Front,List of September 2019 Hong Kong protests,0.3094989708210723
322,Death of Chan Yin-lam,Government of Hong Kong,0.30887411473412885
239,Carrie Lam,Reactions to the 2019–20 Hong Kong protests,0.307250212331805
136,2019 Yuen Long attack,Death of Chan Yin-lam,0.3057219675457481
415,Government of Hong Kong,List of September 2019 Hong Kong protests,0.3039730472953127
459,Lennon Wall (Hong Kong),List of August 2019 Hong Kong protests,0.29957891437334133
56,2019 Hong Kong extradition bill,List of October 2019 Hong Kong protests,0.2991677106321357
431,HKmap.live,List of October 2019 Hong Kong protests,0.29661729741249854
427,HKmap.live,List of December 2019 Hong Kong protests,0.2966000397510709
76,2019 Hong Kong local elections,Death of Chow Tsz-lok,0.2960670265462212
464,Lennon Wall (Hong Kong),List of October 2019 Hong Kong protests,0.29431969808548436
376,Demosistō,List of September 2019 Hong Kong protests,0.29360549104796235
163,2019–20 Hong Kong protests,Chinese University of Hong Kong conflict,0.2934225607025652
114,2019 Prince Edward station attack,List of August 2019 Hong Kong protests,0.29322874480100736
389,Glory to Hong Kong,List of August 2019 Hong Kong protests,0.29056699983230005
455,Hong Kong–Mainland China conflict,Siege of the Hong Kong Polytechnic University,0.28879996559779614
96,2019 Hong Kong local elections,Storming of the Legislative Council Complex,0.2874407611586499
368,Demosistō,Lennon Wall (Hong Kong),0.28643242281957326
388,Glory to Hong Kong,Lennon Wall (Hong Kong),0.2846258787270177
55,2019 Hong Kong extradition bill,List of November 2019 Hong Kong protests,0.28398114609894626
259,Causes of the 2019–20 Hong Kong protests,List of October 2019 Hong Kong protests,0.28140167740396166
385,Glory to Hong Kong,Government of Hong Kong,0.28062451058267385
228,Carrie Lam,List of August 2019 Hong Kong protests,0.2803275582504864
87,2019 Hong Kong local elections,List of November 2019 Hong Kong protests,0.28027506666063906
298,Civil Human Rights Front,Glory to Hong Kong,0.27977643322600293
