,Article 1,Article 2,Corr.
220,Art of the 2019–20 Hong Kong protests,Glory to Hong Kong,0.17342936255600053
425,Demosistō,List of August 2019 Hong Kong protests,0.1730554012538573
432,Demosistō,List of September 2019 Hong Kong protests,0.17295811689627136
129,2019 Prince Edward station attack,Lennon Wall (Hong Kong),0.16864472701792182
707,List of September 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.16863348470515077
111,2019 Prince Edward station attack,2019 Yuen Long attack,0.16851449436766605
722,"One country, two systems",Siege of the Hong Kong Polytechnic University,0.16822899828638713
149,2019 Yuen Long attack,Causes of the 2019–20 Hong Kong protests,0.16707581312642203
114,2019 Prince Edward station attack,Carrie Lam,0.16415288996771757
390,Death of Chow Tsz-lok,Demosistō,0.16048658706166896
515,Hong Kong 1 July marches,List of August 2019 Hong Kong protests,0.1542842624922943
664,List of March–June 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.15205120108501052
176,2019 Yuen Long attack,Siege of the Hong Kong Polytechnic University,0.15174670916373462
79,2019 Hong Kong local elections,Carrie Lam,0.15092482878340308
276,Causes of the 2019–20 Hong Kong protests,Chinese University of Hong Kong conflict,0.1501788325425066
441,Glory to Hong Kong,Government of Hong Kong,0.1477399971580853
689,List of October 2019 Hong Kong protests,"One country, two systems",0.14592660422775702
622,List of August 2019 Hong Kong protests,List of July 2019 Hong Kong protests,0.14433372006938539
199,2019–20 Hong Kong protests,List of July 2019 Hong Kong protests,0.14382493552279127
448,Glory to Hong Kong,Lennon Wall (Hong Kong),0.14349080789557236
502,HKmap.live,Murder of Poon Hiu-wing,0.14309065280079222
300,Causes of the 2019–20 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.14193217940933456
630,List of August 2019 Hong Kong protests,Police misconduct allegations during the 2019–20 Hong Kong protests,0.1405962010180408
31,12 June 2019 Hong Kong protest,"One country, two systems",0.14010787692172186
724,"One country, two systems",Tactics and methods surrounding the 2019–20 Hong Kong protests,0.1398985172313746
565,Hong Kong Way,Reactions to the 2019–20 Hong Kong protests,0.13921824886432074
14,12 June 2019 Hong Kong protest,Government of Hong Kong,0.13882333544428857
496,HKmap.live,List of July 2019 Hong Kong protests,0.1387287261997402
484,Government of Hong Kong,Siege of the Hong Kong Polytechnic University,0.13647505036519023
474,Government of Hong Kong,List of July 2019 Hong Kong protests,0.1346112361574842
263,Carrie Lam,List of March–June 2019 Hong Kong protests,0.13110064683064795
693,List of October 2019 Hong Kong protests,Storming of the Legislative Council Complex,0.1276483547053219
625,List of August 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.12727524894141673
193,2019–20 Hong Kong protests,Hong Kong Way,0.12718398419316398
56,2019 Hong Kong extradition bill,Hong Kong,0.12669810659375075
196,2019–20 Hong Kong protests,Lennon Wall (Hong Kong),0.12539479959610209
727,Police misconduct allegations during the 2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.12484166190056029
167,2019 Yuen Long attack,List of March–June 2019 Hong Kong protests,0.12402270988263103
558,Hong Kong Way,List of November 2019 Hong Kong protests,0.1235060334971765
546,Hong Kong Human Rights and Democracy Act,Reactions to the 2019–20 Hong Kong protests,0.1220585551664225
520,Hong Kong 1 July marches,List of October 2019 Hong Kong protests,0.1218548995466815
505,HKmap.live,Reactions to the 2019–20 Hong Kong protests,0.12167650201361735
175,2019 Yuen Long attack,Reactions to the 2019–20 Hong Kong protests,0.11910855149548115
338,Civil Human Rights Front,Glory to Hong Kong,0.11740360434815479
455,Glory to Hong Kong,List of protests in Hong Kong,0.11740360434815478
623,List of August 2019 Hong Kong protests,List of March–June 2019 Hong Kong protests,0.11530128556808714
314,Chinese University of Hong Kong conflict,Hong Kong Human Rights and Democracy Act,0.11453104656835766
461,Glory to Hong Kong,Siege of the Hong Kong Polytechnic University,0.10897750332784066
654,List of July 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.1079157395436021
726,Police misconduct allegations during the 2019–20 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.10671697217311751
694,List of October 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.10628365329324072
126,2019 Prince Edward station attack,Hong Kong Way,0.10470989402091715
214,Art of the 2019–20 Hong Kong protests,Causes of the 2019–20 Hong Kong protests,0.10299912152827653
265,Carrie Lam,List of October 2019 Hong Kong protests,0.10194202571832134
2,12 June 2019 Hong Kong protest,2019 Prince Edward station attack,0.09987025887771195
78,2019 Hong Kong local elections,Art of the 2019–20 Hong Kong protests,0.09968869741727446
190,2019–20 Hong Kong protests,HKmap.live,0.09869166799966267
