,Article 1,Article 2,Corr.
460,Glory_to_Hong_Kong,Reactions_to_the_2019–20_Hong_Kong_protests,0.5618280030854661
174,2019_Yuen_Long_attack,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.5608168038415425
440,Demosistō,Umbrella_Movement,0.5606685386708149
483,Government_of_Hong_Kong,Reactions_to_the_2019–20_Hong_Kong_protests,0.5591102036445625
196,2019–20_Hong_Kong_protests,Lennon_Wall_(Hong_Kong),0.5587374531714508
589,Hong_Kong–Mainland_China_conflict,List_of_August_2019_Hong_Kong_protests,0.5586522084105275
474,Government_of_Hong_Kong,List_of_July_2019_Hong_Kong_protests,0.5585099764182676
663,List_of_March–June_2019_Hong_Kong_protests,List_of_November_2019_Hong_Kong_protests,0.5580421673539703
541,Hong_Kong_1_July_marches,List_of_protests_in_Hong_Kong,0.5542865167597871
602,Hong_Kong–Mainland_China_conflict,Storming_of_the_Legislative_Council_Complex,0.5512073476633589
33,12_June_2019_Hong_Kong_protest,Reactions_to_the_2019–20_Hong_Kong_protests,0.550128857248847
197,2019–20_Hong_Kong_protests,List_of_August_2019_Hong_Kong_protests,0.5498404266451152
378,Death_of_Chan_Yin-lam,List_of_November_2019_Hong_Kong_protests,0.5480655431517918
411,Death_of_Chow_Tsz-lok,Reactions_to_the_2019–20_Hong_Kong_protests,0.5447891080911846
631,List_of_August_2019_Hong_Kong_protests,Reactions_to_the_2019–20_Hong_Kong_protests,0.5438513896026009
396,Death_of_Chow_Tsz-lok,Hong_Kong_Human_Rights_and_Democracy_Act,0.5420612025049544
482,Government_of_Hong_Kong,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.5414331595625183
565,Hong_Kong_Human_Rights_and_Democracy_Act,Reactions_to_the_2019–20_Hong_Kong_protests,0.538909265089906
533,Hong_Kong_1_July_marches,Hong_Kong–Mainland_China_conflict,0.5386929139329445
452,Glory_to_Hong_Kong,List_of_March–June_2019_Hong_Kong_protests,0.5380014847413691
292,Causes_of_the_2019–20_Hong_Kong_protests,List_of_July_2019_Hong_Kong_protests,0.5379493178463389
62,2019_Hong_Kong_extradition_bill,List_of_March–June_2019_Hong_Kong_protests,0.5341073402524786
611,Lennon_Wall_(Hong_Kong),List_of_protests_in_Hong_Kong,0.5284909337960552
173,2019_Yuen_Long_attack,"One_country,_two_systems",0.5257887305164336
557,Hong_Kong_Human_Rights_and_Democracy_Act,List_of_March–June_2019_Hong_Kong_protests,0.5257568002608191
666,List_of_March–June_2019_Hong_Kong_protests,List_of_September_2019_Hong_Kong_protests,0.5240675285230888
115,2019_Prince_Edward_station_attack,Causes_of_the_2019–20_Hong_Kong_protests,0.519661786825653
558,Hong_Kong_Human_Rights_and_Democracy_Act,List_of_November_2019_Hong_Kong_protests,0.5179845764191834
25,12_June_2019_Hong_Kong_protest,List_of_March–June_2019_Hong_Kong_protests,0.5127557627439567
358,Civil_Human_Rights_Front,Reactions_to_the_2019–20_Hong_Kong_protests,0.5095642440321116
250,Carrie_Lam,Demosistō,0.5091775197229823
459,Glory_to_Hong_Kong,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.5042114130775592
708,List_of_September_2019_Hong_Kong_protests,Reactions_to_the_2019–20_Hong_Kong_protests,0.501846751922771
693,List_of_October_2019_Hong_Kong_protests,Storming_of_the_Legislative_Council_Complex,0.5001641367560467
49,2019_Hong_Kong_extradition_bill,Demosistō,0.4997643693976622
286,Causes_of_the_2019–20_Hong_Kong_protests,Hong_Kong_Human_Rights_and_Democracy_Act,0.4982165497371566
403,Death_of_Chow_Tsz-lok,List_of_March–June_2019_Hong_Kong_protests,0.49810023985489504
651,List_of_July_2019_Hong_Kong_protests,List_of_November_2019_Hong_Kong_protests,0.49798769093395395
330,Chinese_University_of_Hong_Kong_conflict,Reactions_to_the_2019–20_Hong_Kong_protests,0.4957261715867216
