,revid,parentid,user,userid,timestamp,size,anon,userhidden,page_id
137,745125468,745124725,Lmmnhn,4599174.0,2016-10-19T11:30:46Z,7941,,,18592548
138,749801296,745125468,InternetArchiveBot,27015025.0,2016-11-16T06:20:00Z,8123,,,18592548
139,754183909,749801296,2406:3003:200F:55:1EB7:2CFF:FE3A:1A02,0.0,2016-12-11T08:31:40Z,8133,True,,18592548
140,754250857,754183909,Lmmnhn,4599174.0,2016-12-11T17:36:00Z,8121,,,18592548
141,755626619,754250857,Lmmnhn,4599174.0,2016-12-19T05:55:14Z,8123,,,18592548
142,759616778,755626619,Lmmnhn,4599174.0,2017-01-12T05:59:47Z,18877,,,18592548
143,759617757,759616778,Lmmnhn,4599174.0,2017-01-12T06:07:38Z,19762,,,18592548
144,759619038,759617757,Lmmnhn,4599174.0,2017-01-12T06:17:56Z,19809,,,18592548
145,759619190,759619038,Lmmnhn,4599174.0,2017-01-12T06:19:02Z,19822,,,18592548
146,759622643,759619190,Citobun,19212093.0,2017-01-12T06:56:00Z,19833,,,18592548
147,759651788,759622643,Lmmnhn,4599174.0,2017-01-12T12:23:20Z,20716,,,18592548
148,759654813,759651788,Lmmnhn,4599174.0,2017-01-12T12:53:03Z,20827,,,18592548
149,759654866,759654813,Lmmnhn,4599174.0,2017-01-12T12:53:31Z,20854,,,18592548
150,759655359,759654866,Lmmnhn,4599174.0,2017-01-12T12:57:34Z,20858,,,18592548
151,759655865,759655359,Lmmnhn,4599174.0,2017-01-12T13:02:22Z,21551,,,18592548
152,759655931,759655865,Lmmnhn,4599174.0,2017-01-12T13:02:56Z,21551,,,18592548
153,759656040,759655931,Lmmnhn,4599174.0,2017-01-12T13:03:52Z,21254,,,18592548
154,759656107,759656040,Lmmnhn,4599174.0,2017-01-12T13:04:29Z,21249,,,18592548
155,759656162,759656107,Lmmnhn,4599174.0,2017-01-12T13:04:53Z,21245,,,18592548
156,759656167,759656162,182.239.106.192,0.0,2017-01-12T13:04:57Z,21033,True,,18592548
157,759656314,759656167,Lmmnhn,4599174.0,2017-01-12T13:06:10Z,21087,,,18592548
158,759665304,759656314,Lmmnhn,4599174.0,2017-01-12T14:22:25Z,21091,,,18592548
159,759665410,759665304,Lmmnhn,4599174.0,2017-01-12T14:23:13Z,21105,,,18592548
160,759665890,759665410,Lmmnhn,4599174.0,2017-01-12T14:27:50Z,21147,,,18592548
161,759667731,759665890,Lmmnhn,4599174.0,2017-01-12T14:44:07Z,21151,,,18592548
162,759673346,759667731,Lmmnhn,4599174.0,2017-01-12T15:25:17Z,21151,,,18592548
163,759704255,759673346,51.174.175.191,0.0,2017-01-12T18:43:35Z,21142,True,,18592548
164,759704322,759704255,51.174.175.191,0.0,2017-01-12T18:44:02Z,21129,True,,18592548
165,759704381,759704322,51.174.175.191,0.0,2017-01-12T18:44:28Z,21138,True,,18592548
166,759718868,759704381,Lmmnhn,4599174.0,2017-01-12T20:17:06Z,21140,,,18592548
167,759720289,759718868,Lmmnhn,4599174.0,2017-01-12T20:26:51Z,21153,,,18592548
168,759720600,759720289,Lmmnhn,4599174.0,2017-01-12T20:28:52Z,21125,,,18592548
169,759723489,759720600,Lmmnhn,4599174.0,2017-01-12T20:49:04Z,21181,,,18592548
170,759729248,759723489,Simonhksc,29777372.0,2017-01-12T21:26:28Z,21129,,,18592548
171,759745621,759729248,Lmmnhn,4599174.0,2017-01-12T23:16:09Z,21322,,,18592548
172,759748043,759745621,Seeunextime,25847548.0,2017-01-12T23:34:41Z,21403,,,18592548
173,759748334,759748043,Seeunextime,25847548.0,2017-01-12T23:37:11Z,21410,,,18592548
174,759749100,759748334,Lmmnhn,4599174.0,2017-01-12T23:42:56Z,21449,,,18592548
175,759762287,759749100,Robinette Q,30047722.0,2017-01-13T01:20:00Z,21464,,,18592548
176,759797071,759762287,Marxistfounder,17955628.0,2017-01-13T05:48:21Z,21384,,,18592548
177,760145496,759797071,Seeunextime,25847548.0,2017-01-15T06:51:03Z,21778,,,18592548
178,760146906,760145496,Citobun,19212093.0,2017-01-15T07:08:22Z,21384,,,18592548
179,760152850,760146906,Seeunextime,25847548.0,2017-01-15T08:22:26Z,22893,,,18592548
180,760169621,760152850,Seeunextime,25847548.0,2017-01-15T11:03:02Z,22889,,,18592548
181,760291490,760169621,Seeunextime,25847548.0,2017-01-16T02:42:31Z,23724,,,18592548
182,760295181,760291490,Seeunextime,25847548.0,2017-01-16T03:15:31Z,23904,,,18592548
183,760323036,760295181,Lmmnhn,4599174.0,2017-01-16T08:01:59Z,23832,,,18592548
184,760323091,760323036,Lmmnhn,4599174.0,2017-01-16T08:02:32Z,23812,,,18592548
185,760323566,760323091,Lmmnhn,4599174.0,2017-01-16T08:07:04Z,23766,,,18592548
186,760325037,760323566,Lmmnhn,4599174.0,2017-01-16T08:23:08Z,23908,,,18592548
187,760335221,760325037,Ginza Hikari,29172826.0,2017-01-16T10:07:47Z,23908,,,18592548
188,760351560,760335221,Ckh3111,21887372.0,2017-01-16T12:58:40Z,23908,,,18592548
189,760402684,760351560,Simonhksc,29777372.0,2017-01-16T19:46:43Z,23870,,,18592548
190,760451652,760402684,Stomatapoll,17587100.0,2017-01-17T02:03:26Z,24037,,,18592548
191,760520827,760451652,147.142.185.122,0.0,2017-01-17T14:42:03Z,24163,True,,18592548
192,760520969,760520827,147.142.185.122,0.0,2017-01-17T14:43:25Z,24461,True,,18592548
193,760548802,760520969,Lmmnhn,4599174.0,2017-01-17T18:03:00Z,24486,,,18592548
194,760548991,760548802,Lmmnhn,4599174.0,2017-01-17T18:04:17Z,24503,,,18592548
195,760639985,760548991,Lmmnhn,4599174.0,2017-01-18T05:22:26Z,24507,,,18592548
196,760640068,760639985,Lmmnhn,4599174.0,2017-01-18T05:23:07Z,24508,,,18592548
197,760640227,760640068,Lmmnhn,4599174.0,2017-01-18T05:24:11Z,24533,,,18592548
198,760640648,760640227,Lmmnhn,4599174.0,2017-01-18T05:27:11Z,24570,,,18592548
199,760641131,760640648,Lmmnhn,4599174.0,2017-01-18T05:30:39Z,24520,,,18592548
200,760880165,760641131,Jabo-er,15141079.0,2017-01-19T16:39:32Z,24575,,,18592548
201,760891272,760880165,Lmmnhn,4599174.0,2017-01-19T17:53:38Z,24699,,,18592548
202,760913003,760891272,Lmmnhn,4599174.0,2017-01-19T20:12:40Z,24712,,,18592548
203,760982876,760913003,Seeunextime,25847548.0,2017-01-20T04:59:02Z,24712,,,18592548
204,761050138,760982876,Lmmnhn,4599174.0,2017-01-20T16:01:02Z,25287,,,18592548
205,761283154,761050138,Lmmnhn,4599174.0,2017-01-22T02:33:25Z,25251,,,18592548
206,761342456,761283154,Lmmnhn,4599174.0,2017-01-22T12:31:42Z,25289,,,18592548
207,761434044,761342456,Lmmnhn,4599174.0,2017-01-23T00:06:21Z,26113,,,18592548
208,761434112,761434044,Lmmnhn,4599174.0,2017-01-23T00:06:47Z,26107,,,18592548
209,761534020,761434112,Simonhksc,29777372.0,2017-01-23T13:52:56Z,26090,,,18592548
210,761564037,761534020,Lmmnhn,4599174.0,2017-01-23T17:24:38Z,26672,,,18592548
211,761653752,761564037,Teddy.Coughlin,3804955.0,2017-01-24T02:16:54Z,26680,,,18592548
212,761694319,761653752,170.148.132.136,0.0,2017-01-24T08:04:43Z,27417,True,,18592548
213,761694490,761694319,Jim1138,7695475.0,2017-01-24T08:06:56Z,26680,,,18592548
214,761695891,761694490,Lmmnhn,4599174.0,2017-01-24T08:26:00Z,26949,,,18592548
215,761713190,761695891,170.148.132.136,0.0,2017-01-24T11:34:02Z,27686,True,,18592548
216,761713714,761713190,Jim1138,7695475.0,2017-01-24T11:39:44Z,26949,,,18592548
217,761729827,761713714,180.149.244.18,0.0,2017-01-24T14:25:06Z,27732,True,,18592548
218,761746630,761729827,Wylve,2299237.0,2017-01-24T16:23:38Z,26778,,,18592548
219,761749941,761746630,AnomieBOT,7611264.0,2017-01-24T16:43:44Z,26796,,,18592548
220,761842159,761749941,170.148.132.135,0.0,2017-01-25T03:11:55Z,26778,True,,18592548
221,761842422,761842159,170.148.132.135,0.0,2017-01-25T03:14:35Z,27732,True,,18592548
222,761851949,761842422,Jim1138,7695475.0,2017-01-25T04:52:13Z,26778,,,18592548
223,761853915,761851949,AnomieBOT,7611264.0,2017-01-25T05:12:17Z,26796,,,18592548
224,761856229,761853915,170.148.69.141,0.0,2017-01-25T05:35:27Z,26778,True,,18592548
225,761856410,761856229,170.148.69.141,0.0,2017-01-25T05:37:18Z,27771,True,,18592548
226,761856842,761856410,Jim1138,7695475.0,2017-01-25T05:41:54Z,26778,,,18592548
227,761857198,761856842,Jim1138,7695475.0,2017-01-25T05:45:51Z,26796,,,18592548
228,761860044,761857198,170.148.69.141,0.0,2017-01-25T06:13:59Z,23483,True,,18592548
229,761860193,761860044,Quinton Feldberg,29380370.0,2017-01-25T06:15:12Z,26796,,,18592548
230,761861121,761860193,Citobun,19212093.0,2017-01-25T06:22:47Z,26778,,,18592548
231,761862353,761861121,Lmmnhn,4599174.0,2017-01-25T06:33:59Z,26822,,,18592548
232,761868926,761862353,Oshwah,3174456.0,2017-01-25T07:45:19Z,26822,,,18592548
233,761868928,761868926,Oshwah,3174456.0,2017-01-25T07:45:20Z,26879,,,18592548
234,761869031,761868928,Oshwah,3174456.0,2017-01-25T07:46:28Z,26672,,,18592548
235,761869085,761869031,Oshwah,3174456.0,2017-01-25T07:47:08Z,26729,,,18592548
236,761869459,761869085,Wylve,2299237.0,2017-01-25T07:51:54Z,26602,,,18592548
237,761871035,761869459,AnomieBOT,7611264.0,2017-01-25T08:12:14Z,26620,,,18592548
238,761939772,761871035,Lmmnhn,4599174.0,2017-01-25T18:49:33Z,26980,,,18592548
239,762045385,761939772,Lmmnhn,4599174.0,2017-01-26T08:46:01Z,26979,,,18592548
240,762100425,762045385,John of Reading,11308236.0,2017-01-26T17:19:33Z,26977,,,18592548
241,762227449,762100425,DumbBOT,1310918.0,2017-01-27T13:41:28Z,26920,,,18592548
242,762670325,762227449,Lmmnhn,4599174.0,2017-01-30T02:46:50Z,26958,,,18592548
243,762709419,762670325,Lmmnhn,4599174.0,2017-01-30T08:43:02Z,27118,,,18592548
244,763431876,762709419,Lmmnhn,4599174.0,2017-02-03T06:06:08Z,28884,,,18592548
245,763434683,763431876,AnomieBOT,7611264.0,2017-02-03T06:37:18Z,29098,,,18592548
246,763512648,763434683,Lmmnhn,4599174.0,2017-02-03T18:03:54Z,30468,,,18592548
247,763841381,763512648,WWY1941,25457716.0,2017-02-05T14:57:16Z,30504,,,18592548
248,763841451,763841381,WWY1941,25457716.0,2017-02-05T14:57:47Z,30501,,,18592548
249,763855968,763841451,Lmmnhn,4599174.0,2017-02-05T16:44:49Z,30468,,,18592548
250,764138202,763855968,Lmmnhn,4599174.0,2017-02-07T08:21:37Z,30460,,,18592548
251,764667318,764138202,Lmmnhn,4599174.0,2017-02-10T06:22:39Z,31608,,,18592548
252,764667628,764667318,Lmmnhn,4599174.0,2017-02-10T06:26:22Z,28234,,,18592548
253,764667998,764667628,Lmmnhn,4599174.0,2017-02-10T06:30:39Z,28292,,,18592548
254,764685421,764667998,Lmmnhn,4599174.0,2017-02-10T09:55:04Z,28292,,,18592548
255,764685509,764685421,Lmmnhn,4599174.0,2017-02-10T09:56:04Z,28314,,,18592548
256,764774085,764685509,Lmmnhn,4599174.0,2017-02-10T21:23:27Z,28322,,,18592548
257,765342423,764774085,Lmmnhn,4599174.0,2017-02-13T21:48:47Z,28370,,,18592548
258,765342509,765342423,24.85.162.238,0.0,2017-02-13T21:49:13Z,28418,True,,18592548
259,765360329,765342509,Lmmnhn,4599174.0,2017-02-13T23:46:01Z,28370,,,18592548
260,766745469,765360329,Fixer88,9945971.0,2017-02-21T22:19:12Z,28451,,,18592548
261,767582174,766745469,Lmmnhn,4599174.0,2017-02-26T19:16:09Z,28468,,,18592548
262,767957800,767582174,Lmmnhn,4599174.0,2017-02-28T23:06:20Z,32131,,,18592548
263,767958154,767957800,Lmmnhn,4599174.0,2017-02-28T23:09:42Z,32245,,,18592548
264,767958566,767958154,Lmmnhn,4599174.0,2017-02-28T23:13:12Z,32286,,,18592548
265,767958781,767958566,Lmmnhn,4599174.0,2017-02-28T23:15:07Z,32291,,,18592548
266,767996257,767958781,Lmmnhn,4599174.0,2017-03-01T04:28:38Z,32354,,,18592548
267,768234995,767996257,Lmmnhn,4599174.0,2017-03-02T16:27:52Z,32354,,,18592548
268,768695763,768234995,G.-K. d'Ulaanbaatar,30516404.0,2017-03-05T07:37:45Z,44,,,18592548
269,768695772,768695763,ClueBot NG,13286072.0,2017-03-05T07:37:50Z,32354,,,18592548
270,768784119,768695772,Lmmnhn,4599174.0,2017-03-05T19:39:52Z,32360,,,18592548
271,768784210,768784119,Lmmnhn,4599174.0,2017-03-05T19:40:40Z,32364,,,18592548
272,768936541,768784210,Lmmnhn,4599174.0,2017-03-06T16:55:52Z,32446,,,18592548
273,770066566,768936541,Bender the Bot,28903366.0,2017-03-13T07:08:59Z,32444,,,18592548
274,770193498,770066566,Tassedethe,7098284.0,2017-03-13T23:45:02Z,32520,,,18592548
275,771423092,770193498,61.239.215.235,0.0,2017-03-21T13:02:09Z,32550,True,,18592548
276,771902602,771423092,223.197.153.206,0.0,2017-03-24T04:30:11Z,32618,True,,18592548
277,771997043,771902602,Lmmnhn,4599174.0,2017-03-24T18:27:56Z,32670,,,18592548
278,772009088,771997043,Emir of Wikipedia,28856560.0,2017-03-24T19:52:19Z,32694,,,18592548
279,772073382,772009088,111.250.28.232,0.0,2017-03-25T04:50:18Z,32711,True,,18592548
280,772100304,772073382,GünniX,237572.0,2017-03-25T09:07:27Z,32712,,,18592548
281,772248521,772100304,Clh hilary,5078501.0,2017-03-26T04:51:02Z,33059,,,18592548
282,772248732,772248521,Yeungh17,29956306.0,2017-03-26T04:53:09Z,33130,,,18592548
283,772248958,772248732,Yeungh17,29956306.0,2017-03-26T04:55:20Z,33185,,,18592548
284,772249000,772248958,Zach Vega,15182757.0,2017-03-26T04:55:42Z,33059,,,18592548
285,772249026,772249000,Clh hilary,5078501.0,2017-03-26T04:56:00Z,33255,,,18592548
286,772249326,772249026,Clh hilary,5078501.0,2017-03-26T04:58:56Z,33414,,,18592548
287,772249976,772249326,61.221.30.37,0.0,2017-03-26T05:04:57Z,33414,True,,18592548
288,772250884,772249976,113.157.253.130,0.0,2017-03-26T05:13:52Z,33420,True,,18592548
289,772253652,772250884,124.217.189.8,0.0,2017-03-26T05:42:28Z,33416,True,,18592548
290,772255538,772253652,Ser Amantio di Nicolao,753665.0,2017-03-26T06:02:57Z,33460,,,18592548
291,772255669,772255538,Ser Amantio di Nicolao,753665.0,2017-03-26T06:04:11Z,33460,,,18592548
